"Player","Team","POS","RUSHATT","RUSHYDS","RUSHTDS","REC","RECYDS","RECTDS","FL","FPTS"
"Albert Okwuegbunam Jr.","PHI","TE130","0.0","0.0","0.0","1.9","18.0","0.2","0.0","4.7"
"Cody White","SEA","WR235","0.0","0.0","0.0","1.7","19.5","0.2","0.0","4.7"
"Stanley Morgan Jr.","NO","WR236","0.0","0.0","0.0","1.7","19.6","0.2","0.0","4.7"
"Cephus Johnson III","TB","WR237","0.0","0.0","0.0","1.7","19.6","0.2","0.0","4.6"
"Eric Tomlinson","IND","TE131","0.0","0.0","0.0","1.8","17.7","0.2","0.0","4.6"
"Cole Fotheringham","LV","TE132","0.0","0.0","0.0","1.8","17.4","0.2","0.0","4.6"
"C.J. Ham","MIN","RB159","2.2","8.6","0.0","2.0","14.7","0.1","0.0","4.6"
"Irvin Charles","NYJ","WR238","0.0","0.0","0.0","1.7","18.8","0.2","0.0","4.6"
"Malik Taylor","NYJ","WR239","0.0","0.0","0.0","1.7","18.7","0.2","0.0","4.6"
"Lance McCutcheon","NYJ","WR240","0.0","0.0","0.0","1.7","18.6","0.2","0.0","4.5"
"Zach Gentry","LV","TE133","0.0","0.0","0.0","1.9","16.5","0.2","0.0","4.5"
"Jacob Harris","PHI","TE134","0.0","0.0","0.0","1.6","18.5","0.2","0.0","4.5"
"Britain Covey","PHI","WR241","0.0","0.0","0.0","1.6","18.5","0.2","0.0","4.5"
"Mason Kinsey","TEN","WR242","0.0","0.0","0.0","1.5","18.8","0.2","0.0","4.4"
"Tyrie Cleveland","IND","WR243","0.0","0.0","0.0","1.5","18.5","0.2","0.0","4.4"
"Colton Dowell","TEN","WR244","0.0","0.0","0.0","1.5","18.8","0.2","0.0","4.4"
"Trishton Jackson","MIN","WR245","0.0","0.0","0.0","1.6","18.0","0.2","0.0","4.4"
"DJ Turner","LV","WR246","0.0","0.0","0.0","1.5","18.2","0.2","0.0","4.4"
"Kristian Wilkerson","LV","WR247","0.0","0.0","0.0","1.5","18.2","0.2","0.0","4.4"
"Juwann Winfree","IND","WR248","0.0","0.0","0.0","1.5","18.2","0.2","0.0","4.4"
"N'Keal Harry","MIN","WR249","0.0","0.0","0.0","1.6","17.3","0.2","0.0","4.3"
"Rodney Williams","PIT","TE135","0.0","0.0","0.0","1.7","15.8","0.2","0.0","4.3"
"Nate Adkins","DEN","TE136","0.0","0.0","0.0","1.7","15.8","0.2","0.0","4.3"
"Chris Manhertz","NYG","TE137","0.0","0.0","0.0","1.9","16.7","0.1","0.0","4.3"
"Cam Sims","CAR","WR250","0.0","0.0","0.0","1.6","20.9","0.1","0.0","4.3"
"Jalen Virgil","DEN","WR251","0.0","0.0","0.0","1.5","17.3","0.2","0.0","4.2"
"Jalen Camp","CLE","WR252","0.0","0.0","0.0","1.6","19.2","0.1","0.0","4.1"
"Dez Fitzpatrick","PIT","WR253","0.0","0.0","0.0","1.5","16.5","0.2","0.0","4.1"
"Andre Baccellia","ARI","WR254","0.0","0.0","0.0","1.5","16.8","0.2","0.0","4.1"
"Gunner Olszewski","NYG","WR255","0.0","0.0","0.0","1.7","17.7","0.1","0.0","4.1"
"Mike Strachan","CAR","WR256","0.0","0.0","0.0","1.5","19.7","0.1","0.0","4.1"
"Tyrion Davis-Price","PHI","RB160","2.5","13.5","0.0","1.5","8.1","0.1","0.0","4.0"
"Jeff Smith","ARI","WR257","0.0","0.0","0.0","1.5","16.9","0.1","0.0","4.0"
"Kawaan Baker","NE","WR258","0.0","0.0","0.0","1.5","19.4","0.1","0.0","3.9"
"Mike Boone","CAR","RB161","0.0","0.0","0.0","1.9","14.0","0.0","0.0","3.3"
"Quintez Cephus","HOU","WR259","0.0","0.0","0.0","0.5","1.5","0.1","0.0","0.9"
